Sampling apparatus,Device Opening Dimension (cm),Min particle size um,Max particle size um,Sampling location,System,Single Measurement conc (#/m3),Minimum conc (#/m3),Mean conc (#/m3),Median conc (#/m3),Maximum conc (#/m3),"Standard
deviation conc (#/m3)",Probability distribution,Reference
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,2.92E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,3.71E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,3.84E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,5.31E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,5.45E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,5.47E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,6.00E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,6.76E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,7.75E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,7.82E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,8.25E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,8.77E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,8.99E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,9.42E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,9.42E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,9.54E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,9.69E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.03E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.03E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.04E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.05E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.06E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.07E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.20E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.21E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.23E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.25E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.28E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.38E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.46E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.48E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.55E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.57E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,1.63E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Lake Winnipeg, Canada",Lake,4.16E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Anderson et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Ottawa River basin, Canada",River,N.A.,N.A.,N.A.,5.00E+1,N.A.,N.A.,N.A.,Vermaire et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Ottawa River basin, Canada",River,N.A.,N.A.,N.A.,1.10E+2,N.A.,N.A.,N.A.,Vermaire et al. (2017)
"Trawl net: 18 cm high, 333 μm mesh size.",18,333,5000,"Ottawa River basin, Canada",River,N.A.,N.A.,N.A.,9.00E+1,N.A.,N.A.,N.A.,Vermaire et al. (2017)
"Bottles: 0.5 m depth, 100 L filtered at 100 μm.",,100,5000,"Ottawa River basin, Canada",River,N.A.,N.A.,N.A.,9.00E+1,N.A.,N.A.,N.A.,Vermaire et al. (2017)
"Bottles: 0.5 m depth, 100 L filtered at 100 μm.",,100,5000,"Ottawa River basin, Canada",River,N.A.,N.A.,N.A.,1.10E+2,N.A.,N.A.,N.A.,Vermaire et al. (2017)
"Bottles: 0.5 m depth, 100 L filtered at 100 μm.",,100,5000,"Ottawa River basin, Canada",River,N.A.,N.A.,N.A.,7.00E+1,N.A.,N.A.,N.A.,Vermaire et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Bei Lake, China",Lake,N.A.,7.80E+3,8.93E+3,N.A.,1.01E+4,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Beitaizi Lake, China",Lake,N.A.,3.40E+3,3.83E+3,N.A.,4.25E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Dong Lake, China",Lake,N.A.,3.36E+3,5.91E+3,N.A.,7.64E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Houguan Lake, China",Lake,N.A.,2.30E+3,3.84E+3,N.A.,4.90E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Hou Lake, China",Lake,N.A.,1.44E+3,3.05E+3,N.A.,4.98E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Huangjia Lake, China",Lake,N.A.,2.95E+3,3.65E+3,N.A.,4.25E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Huanzi Lake, China",Lake,N.A.,7.85E+3,8.55E+3,N.A.,9.25E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Jinyin Lake, China",Lake,N.A.,2.05E+3,4.60E+3,N.A.,6.30E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Longyang Lake, China",Lake,N.A.,4.35E+3,5.28E+3,N.A.,5.80E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Moshui Lake, China",Lake,N.A.,4.62E+3,5.66E+3,N.A.,5.72E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Nan Lake, China",Lake,N.A.,4.90E+3,5.75E+3,N.A.,6.96E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Nantaizi Lake, China",Lake,N.A.,5.50E+3,6.16E+3,N.A.,6.75E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Sha Lake, China",Lake,N.A.,5.78E+3,6.39E+3,N.A.,7.00E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Sanjiao Lake, China",Lake,N.A.,2.40E+3,3.95E+3,N.A.,5.80E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Tangxun Lake, China",Lake,N.A.,2.48E+3,3.34E+3,N.A.,4.40E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Tazi Lake, China",Lake,N.A.,5.25E+3,6.18E+3,N.A.,7.10E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Wu Lake, China",Lake,N.A.,1.16E+3,1.66E+3,N.A.,2.38E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Yandong Lake, China",Lake,N.A.,2.28E+3,2.55E+3,N.A.,3.13E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Yanxi Lake, China",Lake,N.A.,1.60E+3,2.40E+3,N.A.,3.25E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Zhushan Lake, China",Lake,N.A.,2.45E+3,2.52E+3,N.A.,2.65E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Yangtze River, China",River,N.A.,1.45E+3,2.52E+3,N.A.,4.00E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
Teflon pump (0-20 cm deep); 50 μm stainless steel sieve.,,50,5000,"Hanjiang River, China",River,N.A.,2.60E+3,2.93E+3,N.A.,3.20E+3,N.A.,Triangular: min-mean-max,Wang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,3.85E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,1.60E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,4.70E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,6.82E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,9.36E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,1.71E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,2.38E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,2.42E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Yangtze River and tributaries, China",River,2.72E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2015)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.10E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.56E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,2.20E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,2.76E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,2.80E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,3.14E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,4.82E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,5.06E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,5.60E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,5.60E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,6.60E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,7.40E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,8.60E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,9.54E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.06E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.37E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.38E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.70E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.76E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.98E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,2.04E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,2.06E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,2.89E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,3.17E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,5.18E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,7.46E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,1.43E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
"Trawl net: 50 cm high, 112 μm mesh size.",50,112,5000,"Xixiang Bay, the Three Gorges Reservoir, Chongqing, China",Estuary?,6.84E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Zhang et al. (2017)
