Sampling apparatus,Device Opening Dimension (cm),Min particle size um,Max particle size um,Sampling location,System,Single Measurement conc (#/m3),Minimum conc (#/m3),Mean conc (#/m3),Median conc (#/m3),Maximum conc (#/m3),"Standard
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,5.93E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,7.39E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,3.81E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,6.50E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,1.78E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,7.88E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,1.26E+4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,5.29E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,4.86E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,9.78E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,3.10E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,2.67E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,9.81E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,1.89E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,2.67E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,2.50E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,3.85E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,4.13E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,5.28E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,1.96E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,1.60E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,3.64E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,2.11E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,4.49E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,4.71E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,4.64E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,2.82E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,1.86E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,1.74E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"25 L collected with a Teflon pump at a depth of 1
m and filtered with a 48 μm stainless steel sieve.",,48,5000,"Yangtze River, China",River,7.79E+3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Di and Wang (2018)
"Plankton net: 65 cm diameter, 333 μm mesh size. Half kept under water. 100 μm filtration.",65,333,5000,"Taihu Lake, China",Lake,N.A.,N.A.,2.00E+0,N.A.,N.A.,2.63E+0,Normal: mean and SD,Su et al. (2016)
"Plankton net: 65 cm diameter, 333 μm mesh size. Half kept under water. 100 μm filtration.",65,333,5000,"Taihu Lake, China",Lake,N.A.,N.A.,7.00E+0,N.A.,N.A.,5.33E+0,Normal: mean and SD,Su et al. (2016)
"Plankton net: 65 cm diameter, 333 μm mesh size. Half kept under water. 100 μm filtration.",65,333,5000,"Taihu Lake, China",Lake,N.A.,N.A.,1.63E+1,N.A.,N.A.,5.67E+0,Normal: mean and SD,Su et al. (2016)
Steel sampler at each site (bottles). 5 μm filtration.,,5,5000,"Taihu Lake, China",Lake,N.A.,N.A.,7.20E+3,N.A.,N.A.,7.00E+2,Normal: mean and SD,Su et al. (2016)
Steel sampler at each site (bottles). 5 μm filtration.,,5,5000,"Taihu Lake, China",Lake,N.A.,N.A.,8.90E+3,N.A.,N.A.,5.10E+3,Normal: mean and SD,Su et al. (2016)
Steel sampler at each site (bottles). 5 μm filtration.,,5,5000,"Taihu Lake, China",Lake,N.A.,N.A.,1.56E+4,N.A.,N.A.,7.40E+3,Normal: mean and SD,Su et al. (2016)
Fibres collected from bulk sample; Fragments collected with net of 300 μm mesh size. Both were then filtered at 2.7 μm.,,2.7,5000,"Saigon River, Ho Chi Minh City, Vietnam",River,1.73E+5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Lahens et al. (2018)
Fibres collected from bulk sample; Fragments collected with net of 300 μm mesh size. Both were then filtered at 2.7 μm.,,2.7,5000,"Saigon River, Ho Chi Minh City, Vietnam",River,4.21E+5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Lahens et al. (2018)
Fibres collected from bulk sample; Fragments collected with net of 300 μm mesh size. Both were then filtered at 2.7 μm.,,2.7,5000,"Saigon River, Ho Chi Minh City, Vietnam",River,2.85E+5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Lahens et al. (2018)
Fibres collected from bulk sample; Fragments collected with net of 300 μm mesh size. Both were then filtered at 2.7 μm.,,2.7,5000,"Saigon River, Ho Chi Minh City, Vietnam",River,2.70E+5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Lahens et al. (2018)
Fibres collected from bulk sample; Fragments collected with net of 300 μm mesh size. Both were then filtered at 2.7 μm.,,2.7,5000,"Saigon River, Ho Chi Minh City, Vietnam",River,5.20E+5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Lahens et al. (2018)
Fibres collected from bulk sample; Fragments collected with net of 300 μm mesh size. Both were then filtered at 2.7 μm.,,2.7,5000,"Saigon River, Ho Chi Minh City, Vietnam",River,4.68E+5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Lahens et al. (2018)
"Driftnets: 0.5 m diameter, 500 μm mesh size.",50,500,5000,"Danube Alluvial Zone National Park, Austria",,N.A.,0.00E+0,9.38E+2,N.A.,1.42E+5,N.A.,Triangular: min-mean-max,Lechner et al. (2014)
"Driftnets: 0.5 m diameter, 500 μm mesh size.",50,500,5000,"Danube Alluvial Zone National Park, Austria",,N.A.,0.00E+0,5.51E+1,N.A.,7.45E+2,N.A.,Triangular: min-mean-max,Lechner et al. (2014)
Manta trawl: 330 μm mesh size; 0–0.3 m surface layer.,30,330,5000,"River Seine, France",River,2.80E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Manta trawl: 330 μm mesh size; 0–0.3 m surface layer.,30,330,5000,"River Seine, France",River,2.90E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Manta trawl: 330 μm mesh size; 0–0.3 m surface layer.,30,330,5000,"River Seine, France",River,4.70E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Marne, France",River,5.00E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Marne, France",River,1.08E+2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,3.00E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,1.30E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,3.60E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,7.00E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,5.00E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,3.40E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,1.30E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,8.00E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,N.A.,1.61E+2,2.20E+2,N.A.,2.51E+2,N.A.,Triangular: min-mean-max,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,N.A.,1.18E+2,1.32E+2,N.A.,1.57E+2,N.A.,Triangular: min-mean-max,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,N.A.,1.68E+2,2.17E+2,N.A.,2.54E+2,N.A.,Triangular: min-mean-max,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,N.A.,6.58E+0,9.79E+0,N.A.,1.27E+1,N.A.,Triangular: min-mean-max,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,N.A.,1.05E+1,1.59E+1,N.A.,2.28E+1,N.A.,Triangular: min-mean-max,Dris et al. (2015)
Plankton net: 80 μm mesh size. 0.1-0.35 m surface layer.,35,80,5000,"River Seine, France",River,N.A.,1.62E+1,4.12E+1,N.A.,9.12E+1,N.A.,Triangular: min-mean-max,Dris et al. (2015)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Chiusi, Italy",Lake,2.68E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Chiusi, Italy",Lake,3.36E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Bolsena, Italy",Lake,2.42E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Bolsena, Italy",Lake,4.29E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Bolsena, Italy",Lake,1.24E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Manta trawl: 18.5 cm high, 300 μm mesh size.",18.5,300,5000,"Lake Bolsena, Italy",Lake,8.20E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Fischer et al. (2016)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Maggiore, Italy",Lake,N.A.,N.A.,2.25E-1,N.A.,N.A.,6.50E-2,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Maggiore, Italy",Lake,N.A.,N.A.,2.05E-1,N.A.,N.A.,1.60E-1,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Maggiore, Italy",Lake,N.A.,N.A.,1.45E-1,N.A.,N.A.,8.50E-2,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Garda, Italy",Lake,N.A.,N.A.,2.75E-1,N.A.,N.A.,1.45E-1,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Garda, Italy",Lake,N.A.,N.A.,2.00E-2,N.A.,N.A.,1.35E-2,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Garda, Italy",Lake,N.A.,N.A.,8.00E-2,N.A.,N.A.,6.50E-2,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Iseo, Italy",Lake,N.A.,N.A.,2.85E-1,N.A.,N.A.,1.80E-1,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Iseo, Italy",Lake,N.A.,N.A.,7.50E-2,N.A.,N.A.,5.50E-2,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 20 cm high, 300 μm mesh size.",20,300,5000,"Lake Iseo, Italy",Lake,N.A.,N.A.,2.50E-1,N.A.,N.A.,7.00E-2,Normal: mean and SD,Sighicelli et al. (2018)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Geneva Lake, Switzerland",Lake,N.A.,N.A.,1.22E+0,1.22E+0,N.A.,8.89E-1,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Geneva Lake, Switzerland",Lake,N.A.,N.A.,1.83E-1,7.78E-2,N.A.,2.56E-1,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Constance Lake, Switzerland",Lake,N.A.,N.A.,3.39E-1,3.50E-1,N.A.,6.67E-2,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Neuchâtel Lake, Switzerland",Lake,N.A.,N.A.,3.39E-1,3.44E-1,N.A.,1.33E-1,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Maggiore Lake, Switzerland",Lake,N.A.,N.A.,1.22E+0,1.22E+0,N.A.,8.33E-1,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Zurich Lake, Switzerland",Lake,N.A.,N.A.,6.11E-2,5.44E-2,N.A.,1.44E-2,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Brienz Lake, Switzerland",Lake,N.A.,N.A.,2.00E-1,1.67E-1,N.A.,1.28E-1,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhône River, Switzerland",River,N.A.,N.A.,2.30E+0,2.40E+0,N.A.,5.30E-1,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Aubonne River, Switzerland",River,N.A.,N.A.,1.00E-1,1.00E-1,N.A.,4.20E-2,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Venoge River, Switzerland",River,N.A.,N.A.,6.50E+0,4.00E+0,N.A.,5.30E+0,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Venoge River, Switzerland",River,N.A.,N.A.,6.40E+1,N.A.,N.A.,3.50E+1,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Vuachère River, Switzerland",River,N.A.,N.A.,4.40E+0,N.A.,N.A.,1.30E+0,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhône River, Switzerland",River,N.A.,N.A.,1.30E-1,1.20E-1,N.A.,7.60E-2,Normal: mean and SD,Faure et al. (2015)
"Manta trawl: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhône River, Switzerland",River,N.A.,N.A.,2.90E-1,2.50E-1,N.A.,8.00E-2,Normal: mean and SD,Faure et al. (2015)
"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Switzerland",River,1.33E+0,N.A.,1.33E+0,4.03E-1,N.A.,1.70E+0,Normal: mean and SD,Mani et al. (2015)
