Sampling apparatus,Device Opening Dimension (cm),Min particle size um,Max particle size um,Sampling location,System,Single Measurement conc (#/m3),Minimum conc (#/m3),Mean conc (#/m3),Median conc (#/m3),Maximum conc (#/m3),"Standard
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,0.00E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,2.46E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,2.28E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,9.80E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,8.32E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,5.56E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,5.25E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,5.40E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,3.50E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.44E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,4.79E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,6.11E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.29E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,9.49E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.39E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.37E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.27E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,2.13E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,4.84E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.93E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.44E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.09E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,1.43E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,2.53E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,4.70E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,2.93E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,4.43E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,3.65E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Higgen's Creek, Chicago, USA",River,N.A.,N.A.,5.70E-1,N.A.,N.A.,1.60E-1,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Higgen's Creek, Chicago, USA",River,N.A.,N.A.,1.12E+1,N.A.,N.A.,1.53E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Springbrook Creek, Chicago, USA",River,N.A.,N.A.,1.17E+0,N.A.,N.A.,5.00E-2,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Springbrook Creek, Chicago, USA",River,N.A.,N.A.,5.39E+0,N.A.,N.A.,1.82E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"L Kickapoo Creek, Chicago, USA",River,N.A.,N.A.,1.24E+0,N.A.,N.A.,4.30E-1,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"L Kickapoo Creek, Chicago, USA",River,N.A.,N.A.,8.00E-1,N.A.,N.A.,3.00E-1,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"N Shore Channel, Chicago, USA",River,N.A.,N.A.,3.36E+0,N.A.,N.A.,7.40E-1,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"N Shore Channel, Chicago, USA",River,N.A.,N.A.,6.60E+0,N.A.,N.A.,1.37E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Goose Creek, Chicago, USA",River,N.A.,N.A.,4.37E+0,N.A.,N.A.,1.52E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Goose Creek, Chicago, USA",River,N.A.,N.A.,2.53E+0,N.A.,N.A.,1.36E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"DuPage River, Chicago, USA",River,N.A.,N.A.,5.92E+0,N.A.,N.A.,1.14E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"DuPage River, Chicago, USA",River,N.A.,N.A.,1.03E+1,N.A.,N.A.,4.14E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"W Br DuPage River, Chicago, USA",River,N.A.,N.A.,9.30E-1,N.A.,N.A.,2.50E-1,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"W Br DuPage River, Chicago, USA",River,N.A.,N.A.,2.96E+0,N.A.,N.A.,2.70E-1,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Salt Creek, Chicago, USA",River,N.A.,N.A.,4.80E-1,N.A.,N.A.,9.00E-2,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"Salt Creek, Chicago, USA",River,N.A.,N.A.,3.73E+0,N.A.,N.A.,1.60E+0,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"E Br DuPage River, Chicago, USA",River,N.A.,N.A.,3.14E+0,N.A.,N.A.,6.20E-1,Normal: mean and SD,(McCormick et al. 2016)
"Neuston net: 36 cm high, 333 μm mesh size",36,333,5000,"E Br DuPage River, Chicago, USA",River,N.A.,N.A.,8.86E+0,N.A.,N.A.,3.83E+0,Normal: mean and SD,(McCormick et al. 2016)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,1.27E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,2.56E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,7.81E-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,6.06E-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,5.89E-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,8.65E-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,6.23E-3,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,6.39E-2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,1.87E-1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"Coyote Creek, CA, USA",River,7.40E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"Coyote Creek, CA, USA",River,1.80E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"Coyote Creek, CA, USA",River,7.00E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"San Gabriel River, CA, USA",River,2.14E+2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"San Gabriel River, CA, USA",River,3.00E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"San Gabriel River, CA, USA",River,0.00E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"Los Angeles River, CA, USA",River,1.29E+4,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"Los Angeles River, CA, USA",River,3.60E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"Los Angeles River, CA, USA",River,2.20E+1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,1.09E+0,1.26E-2,N.A.,3.20E-2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,0.00E+0,4.26E+1,N.A.,1.08E-2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,1.07E+1,3.60E+1,N.A.,7.55E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,8.13E+0,4.78E+2,N.A.,1.42E+3,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,0.00E+0,1.98E+2,N.A.,5.92E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,0.00E+0,5.22E+0,N.A.,1.03E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,0.00E+0,1.12E+0,N.A.,3.36E+0,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,3.79E+2,5.55E+2,N.A.,8.34E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Huron, USA",Lake,N.A.,3.95E+2,4.66E+2,N.A.,5.63E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake St. Clair, USA",Lake,N.A.,2.35E+0,N.A.,N.A.,5.86E+0,N.A.,Uniform from min to max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake St. Clair, USA",Lake,4.69E+0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake St. Clair, USA",Lake,N.A.,6.96E+2,N.A.,N.A.,7.06E+2,N.A.,Uniform from min to max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake St. Clair, USA",Lake,N.A.,4.45E+1,1.04E+3,N.A.,1.98E+3,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake St. Clair, USA",Lake,N.A.,1.21E+1,3.22E+1,N.A.,6.43E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.07E+2,N.A.,N.A.,3.18E+3,N.A.,Uniform from min to max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,9.31E+1,7.28E+2,N.A.,1.12E+3,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,4.27E+0,4.85E+0,N.A.,5.26E+0,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,8.10E+0,1.22E+2,N.A.,2.50E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,8.56E+0,2.42E+1,N.A.,4.91E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,0.00E+0,3.22E+0,N.A.,9.66E+0,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.60E+0,1.62E+2,N.A.,4.72E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.62E+0,2.26E+0,N.A.,3.39E+0,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.12E+1,6.88E+2,N.A.,2.02E+3,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.08E+3,1.15E+3,N.A.,1.28E+3,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.41E+1,1.86E+1,N.A.,2.16E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.58E+1,3.57E+2,N.A.,9.92E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,5.31E+0,1.95E+2,N.A.,5.74E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,6.46E+0,8.26E+1,N.A.,1.70E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,5.18E+1,2.22E+2,N.A.,4.96E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,1.13E+1,4.58E+1,N.A.,6.77E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,3.30E+0,2.86E+2,N.A.,8.46E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,4.94E+0,1.40E+1,N.A.,1.98E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,3.71E+0,1.31E+2,N.A.,2.74E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,2.70E+1,8.75E+1,N.A.,1.65E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,2.34E+2,6.24E+2,N.A.,1.30E+3,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Erie, USA",Lake,N.A.,4.83E+1,N.A.,N.A.,2.43E+2,N.A.,Uniform from min to max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Superior, USA",Lake,N.A.,1.86E+0,9.50E+0,N.A.,1.60E+1,N.A.,Triangular: min-mean-max,Cable et al. (2017)
"Manta trawl net (16 x 61 cm), mesh size 100 μm",16,100,5000,"Lake Superior, USA",Lake,N.A.,3.33E+0,1.73E+2,N.A.,5.09E+2,N.A.,Triangular: min-mean-max,Cable et al. (2017)
