,Ô..Sampling.apparatus,Device.Opening.Dimension..cm.,Min.particle.size.um,Max.particle.size.um,Sampling.location,System,Single.Measurement.conc....m3.,Minimum.conc....m3.,Mean.conc....m3.,Median.conc....m3.,Maximum.conc....m3.,Standard.deviation.conc....m3.,Probability.distribution,Reference,x1M,x2M,CF,particles.m3.corrected,particles.m3.corrected_mean,particles.m3.corrected_median,particles.single.median.m3,particles.m3.master,particle.L.master,Sample.Type
279,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1110,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,685.8798143,NA,NA,685.8798143,685.8798143,0.685879814,sample
280,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1090,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,673.5216195,NA,NA,673.5216195,673.5216195,0.673521619,sample
281,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1120,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,692.0589118,NA,NA,692.0589118,692.0589118,0.692058912,sample
282,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.246,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,4.285119452,NA,NA,4.285119452,4.285119452,0.004285119,sample
283,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,2.28,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,39.71574126,NA,NA,39.71574126,39.71574126,0.039715741,sample
284,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.98,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,17.07080107,NA,NA,17.07080107,17.07080107,0.017070801,sample
285,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.832,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,14.49276172,NA,NA,14.49276172,14.49276172,0.014492762,sample
286,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.556,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,9.685066729,NA,NA,9.685066729,9.685066729,0.009685067,sample
287,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.525,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,9.145072001,NA,NA,9.145072001,9.145072001,0.009145072,sample
288,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.54,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,9.406359773,NA,NA,9.406359773,9.406359773,0.00940636,sample
289,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,3.5,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,60.96714667,NA,NA,60.96714667,60.96714667,0.060967147,sample
290,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.44,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,25.08362606,NA,NA,25.08362606,25.08362606,0.025083626,sample
291,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,4.79,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,83.43789502,NA,NA,83.43789502,83.43789502,0.083437895,sample
292,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.611,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,10.64312189,NA,NA,10.64312189,10.64312189,0.010643122,sample
293,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.29,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,22.47074835,NA,NA,22.47074835,22.47074835,0.022470748,sample
294,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,9.49,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,165.3080634,NA,NA,165.3080634,165.3080634,0.165308063,sample
295,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.39,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,24.21266682,NA,NA,24.21266682,24.21266682,0.024212667,sample
296,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,13.7,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,238.6428313,NA,NA,238.6428313,238.6428313,0.238642831,sample
297,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.27,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,22.12236465,NA,NA,22.12236465,22.12236465,0.022122365,sample
298,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,2.13,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,37.10286355,NA,NA,37.10286355,37.10286355,0.037102864,sample
299,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,4.84,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,84.30885426,NA,NA,84.30885426,84.30885426,0.084308854,sample
300,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.93,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,33.61902659,NA,NA,33.61902659,33.61902659,0.033619027,sample
301,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.44,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,25.08362606,NA,NA,25.08362606,25.08362606,0.025083626,sample
302,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.09,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,18.98691139,NA,NA,18.98691139,18.98691139,0.018986911,sample
303,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.43,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,24.90943421,NA,NA,24.90943421,24.90943421,0.024909434,sample
304,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,2.53,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,44.07053745,NA,NA,44.07053745,44.07053745,0.044070537,sample
305,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,4.7,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,81.87016839,NA,NA,81.87016839,81.87016839,0.081870168,sample
306,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,2.93,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,51.03821136,NA,NA,51.03821136,51.03821136,0.051038211,sample
307,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,4.43,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,77.1669885,NA,NA,77.1669885,77.1669885,0.077166989,sample
308,Plankton net: 100 Œºm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,3.65,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,63.58002439,NA,NA,63.58002439,63.58002439,0.063580024,sample
309,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Higgen's Creek, Chicago, USA",River,NA,NA,0.57,NA,NA,0.16,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,23.00931629,NA,NA,23.00931629,0.023009316,sample
310,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Higgen's Creek, Chicago, USA",River,NA,NA,11.2,NA,NA,1.53,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,452.1128815,NA,NA,452.1128815,0.452112881,sample
311,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Springbrook Creek, Chicago, USA",River,NA,NA,1.17,NA,NA,0.05,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,47.22964922,NA,NA,47.22964922,0.047229649,sample
312,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Springbrook Creek, Chicago, USA",River,NA,NA,5.39,NA,NA,1.82,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,217.5793242,NA,NA,217.5793242,0.217579324,sample
313,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"L Kickapoo Creek, Chicago, USA",River,NA,NA,1.24,NA,NA,0.43,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,50.05535473,NA,NA,50.05535473,0.050055355,sample
314,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"L Kickapoo Creek, Chicago, USA",River,NA,NA,0.8,NA,NA,0.3,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,32.29377725,NA,NA,32.29377725,0.032293777,sample
315,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"N Shore Channel, Chicago, USA",River,NA,NA,3.36,NA,NA,0.74,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,135.6338644,NA,NA,135.6338644,0.135633864,sample
316,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"N Shore Channel, Chicago, USA",River,NA,NA,6.6,NA,NA,1.37,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,266.4236623,NA,NA,266.4236623,0.266423662,sample
317,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Goose Creek, Chicago, USA",River,NA,NA,4.37,NA,NA,1.52,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,176.4047582,NA,NA,176.4047582,0.176404758,sample
318,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Goose Creek, Chicago, USA",River,NA,NA,2.53,NA,NA,1.36,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,102.1290705,NA,NA,102.1290705,0.102129071,sample
319,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"DuPage River, Chicago, USA",River,NA,NA,5.92,NA,NA,1.14,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,238.9739516,NA,NA,238.9739516,0.238973952,sample
320,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"DuPage River, Chicago, USA",River,NA,NA,10.3,NA,NA,4.14,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,415.782382,NA,NA,415.782382,0.415782382,sample
321,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"W Br DuPage River, Chicago, USA",River,NA,NA,0.93,NA,NA,0.25,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,37.54151605,NA,NA,37.54151605,0.037541516,sample
322,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"W Br DuPage River, Chicago, USA",River,NA,NA,2.96,NA,NA,0.27,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,119.4869758,NA,NA,119.4869758,0.119486976,sample
323,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Salt Creek, Chicago, USA",River,NA,NA,0.48,NA,NA,0.09,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,19.37626635,NA,NA,19.37626635,0.019376266,sample
324,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"Salt Creek, Chicago, USA",River,NA,NA,3.73,NA,NA,1.6,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,150.5697364,NA,NA,150.5697364,0.150569736,sample
325,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"E Br DuPage River, Chicago, USA",River,NA,NA,3.14,NA,NA,0.62,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,126.7530757,NA,NA,126.7530757,0.126753076,sample
326,"Neuston net: 36 cm high, 333 Œºm mesh size",36,333,5000,"E Br DuPage River, Chicago, USA",River,NA,NA,8.86,NA,NA,3.83,Normal: mean and SD,(McCormick et al. 2016),333,5000,40.36722156,NA,357.653583,NA,NA,357.653583,0.357653583,sample
327,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.127,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,5.126637138,NA,NA,5.126637138,5.126637138,0.005126637,sample
328,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.256,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,10.33400872,NA,NA,10.33400872,10.33400872,0.010334009,sample
329,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.0781,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,3.152680004,NA,NA,3.152680004,3.152680004,0.00315268,sample
330,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.0606,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,2.446253626,NA,NA,2.446253626,2.446253626,0.002446254,sample
331,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.0589,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,2.37762935,NA,NA,2.37762935,2.37762935,0.002377629,sample
332,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.0865,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,3.491764665,NA,NA,3.491764665,3.491764665,0.003491765,sample
333,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.00623,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,0.25148779,NA,NA,0.25148779,0.25148779,0.000251488,sample
334,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.0639,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,2.579465458,NA,NA,2.579465458,2.579465458,0.002579465,sample
335,"Trawl net (16 x 61 cm), mesh size 333 Œºm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,0.187,NA,NA,NA,NA,NA,NA,Free et al. (2014),333,5000,40.36722156,7.548670431,NA,NA,7.548670431,7.548670431,0.00754867,sample
336,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"Coyote Creek, CA, USA",River,74,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,6086.18554,NA,NA,6086.18554,6086.18554,6.08618554,sample
337,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"Coyote Creek, CA, USA",River,18,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,1480.42351,NA,NA,1480.42351,1480.42351,1.48042351,sample
338,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"Coyote Creek, CA, USA",River,7,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,575.7202538,NA,NA,575.7202538,575.7202538,0.575720254,sample
339,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"San Gabriel River, CA, USA",River,214,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,17600.59062,NA,NA,17600.59062,17600.59062,17.60059062,sample
340,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"San Gabriel River, CA, USA",River,30,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,2467.372516,NA,NA,2467.372516,2467.372516,2.467372516,sample
341,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"Los Angeles River, CA, USA",River,12900,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,1060970.182,NA,NA,1060970.182,1060970.182,1060.970182,sample
342,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"Los Angeles River, CA, USA",River,36,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,2960.847019,NA,NA,2960.847019,2960.847019,2.960847019,sample
343,"Handnets (mesh sizes 800 and 500 Œºm), manta trawl net (mesh size 333 Œºm), streambed sampler (mesh size 333 Œºm), rectangular net (mesh size 333 Œºm)",NA,800,5000,"Los Angeles River, CA, USA",River,22,NA,NA,NA,NA,NA,NA,Moore et al. (2011),800,5000,82.24575054,1809.406512,NA,NA,1809.406512,1809.406512,1.809406512,sample
344,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,1.09,0.0126,NA,0.032,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,0.219481728,NA,NA,0.219481728,0.000219482,sample
345,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,0,42.6,NA,0.0108,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,742.0572709,NA,NA,742.0572709,0.742057271,sample
346,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,10.7,36,NA,75.5,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,627.0906515,NA,NA,627.0906515,0.627090652,sample
347,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,8.13,478,NA,1420,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,8326.370317,NA,NA,8326.370317,8.326370317,sample
348,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,0,198,NA,592,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,3448.998583,NA,NA,3448.998583,3.448998583,sample
349,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,0,5.22,NA,10.3,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,90.92814447,NA,NA,90.92814447,0.090928144,sample
350,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,0,1.12,NA,3.36,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,19.50948694,NA,NA,19.50948694,0.019509487,sample
351,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,379,555,NA,834,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,9667.647544,NA,NA,9667.647544,9.667647544,sample
352,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Huron, USA",Lake,NA,395,466,NA,563,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,8117.3401,NA,NA,8117.3401,8.1173401,sample
353,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake St. Clair, USA",Lake,4.69,NA,NA,NA,NA,NA,NA,Cable et al. (2017),100,5000,17.41918476,81.69597654,NA,NA,81.69597654,81.69597654,0.081695977,sample
354,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake St. Clair, USA",Lake,NA,44.5,1040,NA,1980,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,18115.95215,NA,NA,18115.95215,18.11595215,sample
355,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake St. Clair, USA",Lake,NA,12.1,32.2,NA,64.3,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,560.8977494,NA,NA,560.8977494,0.560897749,sample
356,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,93.1,728,NA,1120,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,12681.16651,NA,NA,12681.16651,12.68116651,sample
357,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,4.27,4.85,NA,5.26,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,84.48304611,NA,NA,84.48304611,0.084483046,sample
358,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,8.1,122,NA,250,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,2125.140541,NA,NA,2125.140541,2.125140541,sample
359,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,8.56,24.2,NA,49.1,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,421.5442713,NA,NA,421.5442713,0.421544271,sample
360,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,0,3.22,NA,9.66,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,56.08977494,NA,NA,56.08977494,0.056089775,sample
361,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,1.6,162,NA,472,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,2821.907932,NA,NA,2821.907932,2.821907932,sample
362,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,1.62,2.26,NA,3.39,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,39.36735757,NA,NA,39.36735757,0.039367358,sample
363,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,11.2,688,NA,2020,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,11984.39912,NA,NA,11984.39912,11.98439912,sample
364,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,1080,1150,NA,1280,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,20032.06248,NA,NA,20032.06248,20.03206248,sample
365,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,14.1,18.6,NA,21.6,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,323.9968366,NA,NA,323.9968366,0.323996837,sample
366,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,15.8,357,NA,992,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,6218.648961,NA,NA,6218.648961,6.218648961,sample
367,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,5.31,195,NA,574,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,3396.741029,NA,NA,3396.741029,3.396741029,sample
368,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,6.46,82.6,NA,170,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,1438.824662,NA,NA,1438.824662,1.438824662,sample
369,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,51.8,222,NA,496,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,3867.059018,NA,NA,3867.059018,3.867059018,sample
370,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,11.3,45.8,NA,67.7,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,797.7986622,NA,NA,797.7986622,0.797798662,sample
371,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,3.3,286,NA,846,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,4981.886842,NA,NA,4981.886842,4.981886842,sample
372,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,4.94,14,NA,19.8,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,243.8685867,NA,NA,243.8685867,0.243868587,sample
373,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,3.71,131,NA,274,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,2281.913204,NA,NA,2281.913204,2.281913204,sample
374,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,27,87.5,NA,165,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,1524.178667,NA,NA,1524.178667,1.524178667,sample
375,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Erie, USA",Lake,NA,234,624,NA,1300,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,10869.57129,NA,NA,10869.57129,10.86957129,sample
376,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Superior, USA",Lake,NA,1.86,9.5,NA,16,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,165.4822553,NA,NA,165.4822553,0.165482255,sample
377,"Manta trawl net (16 x 61 cm), mesh size 100 Œºm",16,100,5000,"Lake Superior, USA",Lake,NA,3.33,173,NA,509,NA,Triangular: min-mean-max,Cable et al. (2017),100,5000,17.41918476,NA,3013.518964,NA,NA,3013.518964,3.013518964,sample
